season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Harry Kane,10,eng ENG,FW,29-009,90,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Son Heung-min,7,kr KOR,AM,30-029,90,0,1,0,0,4,2,0,0,0,1,0,7,2,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Dejan Kulusevski,21,se SWE,AM,22-103,85,1,1,0,0,2,1,0,0,0,0,1,3,0,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Lucas Moura,27,br BRA,"FW,MF",29-358,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Ryan Sessegnon,19,eng ENG,DM,22-080,65,1,0,0,0,2,1,1,0,1,0,1,4,2,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Ivan Perišić,14,hr CRO,"FW,MF",33-185,25,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Pierre Højbjerg,5,dk DEN,DM,27-001,90,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Rodrigo Bentancur,30,uy URU,DM,25-042,85,0,0,0,0,0,0,1,0,2,0,0,1,4,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Yves Bissouma,38,ml MLI,MF,25-341,5,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,
2022-2023,Tottenham Hotspur 2022 2023,2022-08-06,Premier League,Southampton,2022-08-06_premier_league_southampton_player_stats.csv,09d8a999,https://fbref.com/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Home,Southampton,W,2022-08-06_premier_league_southampton,Tottenham Hotspur,Emerson,12,br BRA,DM,23-204,86,0,1,0,0,3,0,0,0,3,2,0,3,1,0,0,,
