season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Starter,7,John McGinn
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Starter,8,Youri Tielemans
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Starter,11,Ollie Watkins
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Starter,12,Lucas Digne
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Starter,14,Pau Torres
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Starter,24,Amadou Onana
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Starter,27,Morgan Rogers
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Starter,31,Leon Bailey
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,18,Joe Gauci
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,3,Diego Carlos
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,6,Ross Barkley
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,9,Jáder Durán
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,10,Emi Buendía
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,19,Jaden Philogene Bidace
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,20,Kosta Nedeljković
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,22,Ian Maatsen
2024-2025,Aston Villa 2024 2025,2024-08-24,Premier League,Arsenal,2024-08-24_premier_league_arsenal_lineups.csv,4692171a,https://fbref.com/en/matches/4692171a/Aston-Villa-Arsenal-August-24-2024-Premier-League,2024-08-24,Premier League,Matchweek 2,Home,Arsenal,L,2024-08-24_premier_league_arsenal,Aston Villa,4-4-2,Bench,41,Jacob Ramsey
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,23,Emiliano Martínez
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,4,Ezri Konsa
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,7,John McGinn
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,8,Youri Tielemans
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,11,Ollie Watkins
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,12,Lucas Digne
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,14,Pau Torres
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,24,Amadou Onana
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,26,Lamare Bogarde
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,27,Morgan Rogers
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Starter,31,Leon Bailey
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,18,Joe Gauci
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,48,Oliwier Zych
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,6,Ross Barkley
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,9,Jáder Durán
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,10,Emi Buendía
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,20,Kosta Nedeljković
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,22,Ian Maatsen
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,41,Jacob Ramsey
2024-2025,Aston Villa 2024 2025,2024-08-31,Premier League,Leicester City,2024-08-31_premier_league_leicester_city_lineups.csv,5af68b76,https://fbref.com/en/matches/5af68b76/Leicester-City-Aston-Villa-August-31-2024-Premier-League,2024-08-31,Premier League,Matchweek 3,Away,Leicester City,W,2024-08-31_premier_league_leicester_city,Aston Villa,4-4-2,Bench,50,Sil Swinkels
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,23,Emiliano Martínez
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,4,Ezri Konsa
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,7,John McGinn
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,8,Youri Tielemans
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,11,Ollie Watkins
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,12,Lucas Digne
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,14,Pau Torres
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,24,Amadou Onana
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,26,Lamare Bogarde
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,27,Morgan Rogers
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Starter,41,Jacob Ramsey
2024-2025,Aston Villa 2024 2025,2024-09-14,Premier League,Everton,2024-09-14_premier_league_everton_lineups.csv,cdb4c33b,https://fbref.com/en/matches/cdb4c33b/Aston-Villa-Everton-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Everton,W,2024-09-14_premier_league_everton,Aston Villa,4-2-3-1,Bench,18,Joe Gauci
