Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Anthony Gordon,10,eng ENG,FW,22-169,67,0,1,0,0,1,0,1,0,4,6,0,1,0,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Harvey Barnes,15,eng ENG,"FW,MF",25-246,23,1,1,0,0,1,1,0,0,0,2,0,1,0,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Alexander Isak,14,se SWE,FW,23-325,67,2,0,0,0,3,3,0,0,1,2,1,0,0,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Callum Wilson,9,eng ENG,FW,31-166,23,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Miguel Almirón,24,py PAR,FW,29-183,85,0,0,0,0,1,1,0,0,0,1,0,0,2,1,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Jacob Murphy,23,eng ENG,"DF,FW",28-169,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Joelinton,7,br BRA,CM,26-363,90,0,0,0,0,1,1,0,0,2,0,0,0,3,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Bruno Guimarães,39,br BRA,CM,25-269,84,0,0,0,0,2,1,1,0,1,3,0,0,0,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Sean Longstaff,36,eng ENG,MF,25-286,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Sandro Tonali,8,it ITA,CM,23-096,89,1,0,0,0,2,2,1,0,2,1,0,2,1,1,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Elliot Anderson,32,eng ENG,MF,20-279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,Dan Burn,33,eng ENG,LB,31-095,90,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,
