Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2022-12-26,17:30(18:30),Premier League,Matchweek 17,Mon,Away,W,3,1,Aston Villa,53,"42,085",Jordan Henderson,4-3-3,4-4-2,Paul Tierney,https://fbref.com/en/matches/ab7d4465/Aston-Villa-Liverpool-December-26-2022-Premier-League,Match Report,
2022-12-30,20:00(21:00),Premier League,Matchweek 18,Fri,Home,W,2,1,Leicester City,57,"53,343",Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/c5e4ccf5/Liverpool-Leicester-City-December-30-2022-Premier-League,Match Report,
2023-01-02,17:30(18:30),Premier League,Matchweek 19,Mon,Away,L,1,3,Brentford,73,"17,163",Virgil van Dijk,4-3-3,3-5-2,Stuart Attwell,https://fbref.com/en/matches/af6aa183/Brentford-Liverpool-January-2-2023-Premier-League,Match Report,
2023-01-14,15:00(16:00),Premier League,Matchweek 20,Sat,Away,L,0,3,Brighton,38,"31,645",Jordan Henderson,4-3-3,4-2-3-1,Darren England,https://fbref.com/en/matches/cfc2a193/Brighton-and-Hove-Albion-Liverpool-January-14-2023-Premier-League,Match Report,
2023-01-21,12:30(13:30),Premier League,Matchweek 21,Sat,Home,D,0,0,Chelsea,48,"53,126",James Milner,4-3-3,3-4-3,Michael Oliver,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,Match Report,
2023-02-04,15:00(16:00),Premier League,Matchweek 22,Sat,Away,L,0,3,Wolves,58,"31,664",Andrew Robertson,4-3-3,4-4-2,Paul Tierney,https://fbref.com/en/matches/d67a16c8/Wolverhampton-Wanderers-Liverpool-February-4-2023-Premier-League,Match Report,
2023-02-13,20:00(21:00),Premier League,Matchweek 23,Mon,Home,W,2,0,Everton,59,"53,027",Jordan Henderson,4-3-3,4-5-1,Simon Hooper,https://fbref.com/en/matches/a895ec23/Merseyside-Derby-Liverpool-Everton-February-13-2023-Premier-League,Match Report,
2023-02-18,17:30(18:30),Premier League,Matchweek 24,Sat,Away,W,2,0,Newcastle United,63,"52,758",Jordan Henderson,4-3-3,4-3-3,Anthony Taylor,https://fbref.com/en/matches/2f909763/Newcastle-United-Liverpool-February-18-2023-Premier-League,Match Report,
2023-02-25,19:45(20:45),Premier League,Matchweek 25,Sat,Away,D,0,0,Crystal Palace,64,"25,842",Jordan Henderson,4-3-3,4-2-3-1,Darren England,https://fbref.com/en/matches/8a59c49c/Crystal-Palace-Liverpool-February-25-2023-Premier-League,Match Report,
2023-03-01,20:00(21:00),Premier League,Matchweek 7,Wed,Home,W,2,0,Wolves,57,"53,259",Virgil van Dijk,4-3-3,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/5e05f5f4/Liverpool-Wolverhampton-Wanderers-March-1-2023-Premier-League,Match Report,
2023-03-05,16:30(17:30),Premier League,Matchweek 26,Sun,Home,W,7,0,Manchester Utd,60,"53,001",Jordan Henderson,4-3-3,4-2-3-1,Andy Madley,https://fbref.com/en/matches/756e8036/North-West-Derby-Liverpool-Manchester-United-March-5-2023-Premier-League,Match Report,
2023-03-11,12:30(13:30),Premier League,Matchweek 27,Sat,Away,L,0,1,Bournemouth,69,"10,536",Virgil van Dijk,4-3-3,4-4-1-1,John Brooks,https://fbref.com/en/matches/d376dff8/Bournemouth-Liverpool-March-11-2023-Premier-League,Match Report,
2023-04-01,12:30(13:30),Premier League,Matchweek 29,Sat,Away,L,1,4,Manchester City,31,"52,877",Jordan Henderson,4-3-3,3-2-4-1,Simon Hooper,https://fbref.com/en/matches/40966f45/Manchester-City-Liverpool-April-1-2023-Premier-League,Match Report,
2023-04-04,20:00(21:00),Premier League,Matchweek 8,Tue,Away,D,0,0,Chelsea,51,"40,093",Jordan Henderson,4-3-3,3-5-2,Anthony Taylor,https://fbref.com/en/matches/1028e683/Chelsea-Liverpool-April-4-2023-Premier-League,Match Report,
2023-04-09,16:30(17:30),Premier League,Matchweek 30,Sun,Home,D,2,2,Arsenal,59,"53,267",Jordan Henderson,4-3-3,4-3-3,Paul Tierney,https://fbref.com/en/matches/f3774baa/Liverpool-Arsenal-April-9-2023-Premier-League,Match Report,
2023-04-17,20:00(21:00),Premier League,Matchweek 31,Mon,Away,W,6,1,Leeds United,74,"36,657",Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/fd3d05f5/Leeds-United-Liverpool-April-17-2023-Premier-League,Match Report,
2023-04-22,15:00(16:00),Premier League,Matchweek 32,Sat,Home,W,3,2,Nottingham Forest,81,"53,254",Jordan Henderson,4-3-3,3-4-3,Michael Oliver,https://fbref.com/en/matches/99bfc321/Liverpool-Nottingham-Forest-April-22-2023-Premier-League,Match Report,
2023-04-26,19:45(20:45),Premier League,Matchweek 33,Wed,Away,W,2,1,West Ham United,73,"62,473",Jordan Henderson,4-3-3,4-2-3-1,Chris Kavanagh,https://fbref.com/en/matches/f2f795ae/West-Ham-United-Liverpool-April-26-2023-Premier-League,Match Report,
2023-04-30,16:30(17:30),Premier League,Matchweek 34,Sun,Home,W,4,3,Tottenham Hotspur,68,"53,275",Virgil van Dijk,4-3-3,3-4-3,Paul Tierney,https://fbref.com/en/matches/e07267b3/Liverpool-Tottenham-Hotspur-April-30-2023-Premier-League,Match Report,
2023-05-03,20:00(21:00),Premier League,Matchweek 28,Wed,Home,W,1,0,Fulham,58,"52,602",Jordan Henderson,4-3-3,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/24fb8eca/Liverpool-Fulham-May-3-2023-Premier-League,Match Report,
2023-05-06,17:30(18:30),Premier League,Matchweek 35,Sat,Home,W,1,0,Brentford,54,"52,838",Virgil van Dijk,4-3-3,5-3-2,Anthony Taylor,https://fbref.com/en/matches/6e2d1c8c/Liverpool-Brentford-May-6-2023-Premier-League,Match Report,
2023-05-15,20:00(21:00),Premier League,Matchweek 36,Mon,Away,W,3,0,Leicester City,67,"32,225",Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/7dd0fbd7/Leicester-City-Liverpool-May-15-2023-Premier-League,Match Report,
2023-05-20,15:00(16:00),Premier League,Matchweek 37,Sat,Home,D,1,1,Aston Villa,66,"53,306",Jordan Henderson,4-3-3,4-2-3-1,John Brooks,https://fbref.com/en/matches/72646bde/Liverpool-Aston-Villa-May-20-2023-Premier-League,Match Report,
2023-05-28,16:30(17:30),Premier League,Matchweek 38,Sun,Away,D,4,4,Southampton,69,"31,129",James Milner,4-3-3,4-2-3-1,Darren England,https://fbref.com/en/matches/8e5c6ea7/Southampton-Liverpool-May-28-2023-Premier-League,Match Report,
