Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2022-07-30,17:00(18:00),Community Shield,FA Community Shield,Sat,Neutral,W,3,1,Manchester City,43,,Jordan Henderson,4-3-3,4-3-3,Craig Pawson,https://fbref.com/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,Match Report,
2022-08-06,12:30(13:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Fulham,67,"22,207",Jordan Henderson,4-3-3,4-2-3-1,Andy Madley,https://fbref.com/en/matches/6713c1dc/Fulham-Liverpool-August-6-2022-Premier-League,Match Report,
2022-08-15,20:00(21:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Crystal Palace,73,"52,970",James Milner,4-3-3,5-4-1,Paul Tierney,https://fbref.com/en/matches/b3c6f709/Liverpool-Crystal-Palace-August-15-2022-Premier-League,Match Report,
2022-08-22,20:00(21:00),Premier League,Matchweek 3,Mon,Away,L,1,2,Manchester Utd,70,"74,147",Jordan Henderson,4-3-3,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/3c9a8f71/North-West-Derby-Manchester-United-Liverpool-August-22-2022-Premier-League,Match Report,
2022-08-27,15:00(16:00),Premier League,Matchweek 4,Sat,Home,W,9,0,Bournemouth,71,"53,328",Jordan Henderson,4-3-3,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/de515487/Liverpool-Bournemouth-August-27-2022-Premier-League,Match Report,
2022-08-31,20:00(21:00),Premier League,Matchweek 5,Wed,Home,W,2,1,Newcastle United,72,"53,316",Jordan Henderson,4-3-3,4-3-3,Andre Marriner,https://fbref.com/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League,Match Report,
2022-09-03,12:30(13:30),Premier League,Matchweek 6,Sat,Away,D,0,0,Everton,61,"39,240",Virgil van Dijk,4-3-3,4-3-3,Anthony Taylor,https://fbref.com/en/matches/073227b6/Merseyside-Derby-Everton-Liverpool-September-3-2022-Premier-League,Match Report,
2022-09-07,21:00,Champions Lg,Group stage,Wed,Away,L,1,4,itNapoli,61,"51,793",James Milner,4-3-3,4-2-3-1,Carlos del Cerro,https://fbref.com/en/matches/186769e2/Napoli-Liverpool-September-7-2022-Champions-League,Match Report,
2022-09-13,20:00(21:00),Champions Lg,Group stage,Tue,Home,W,2,1,nlAjax,57,"52,387",Virgil van Dijk,4-3-3,4-3-3,Artur Dias,https://fbref.com/en/matches/03c10fd7/Liverpool-Ajax-September-13-2022-Champions-League,Match Report,
2022-10-01,15:00(16:00),Premier League,Matchweek 9,Sat,Home,D,3,3,Brighton,54,"53,320",Jordan Henderson,4-3-3,3-4-3,Andy Madley,https://fbref.com/en/matches/aadd2e80/Liverpool-Brighton-and-Hove-Albion-October-1-2022-Premier-League,Match Report,
2022-10-04,20:00(21:00),Champions Lg,Group stage,Tue,Home,W,2,0,sctRangers,64,"49,512",Jordan Henderson,4-2-3-1,5-4-1,Clément Turpin,https://fbref.com/en/matches/707b3173/Liverpool-Rangers-October-4-2022-Champions-League,Match Report,
2022-10-09,16:30(17:30),Premier League,Matchweek 10,Sun,Away,L,2,3,Arsenal,56,"60,059",Jordan Henderson,4-2-3-1,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/84a48413/Arsenal-Liverpool-October-9-2022-Premier-League,Match Report,
2022-10-12,20:00(21:00),Champions Lg,Group stage,Wed,Away,W,7,1,sctRangers,57,"48,820",Jordan Henderson,4-3-3,4-2-3-1,Slavko Vinčič,https://fbref.com/en/matches/b79490f8/Rangers-Liverpool-October-12-2022-Champions-League,Match Report,
2022-10-16,16:30(17:30),Premier League,Matchweek 11,Sun,Home,W,1,0,Manchester City,37,"53,286",James Milner,4-2-3-1,4-3-3,Anthony Taylor,https://fbref.com/en/matches/2ed4b79f/Liverpool-Manchester-City-October-16-2022-Premier-League,Match Report,
2022-10-19,19:30(20:30),Premier League,Matchweek 12,Wed,Home,W,1,0,West Ham United,54,"52,982",Jordan Henderson,4-4-2,4-4-2,Stuart Attwell,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,Match Report,
2022-10-22,12:30(13:30),Premier League,Matchweek 13,Sat,Away,L,0,1,Nottingham Forest,75,"29,245",James Milner,4-4-2,4-3-3,Paul Tierney,https://fbref.com/en/matches/f92b67c2/Nottingham-Forest-Liverpool-October-22-2022-Premier-League,Match Report,
2022-10-26,21:00,Champions Lg,Group stage,Wed,Away,W,3,0,nlAjax,51,"53,327",Jordan Henderson,4-3-3,4-1-4-1,José Sánchez,https://fbref.com/en/matches/d88e832b/Ajax-Liverpool-October-26-2022-Champions-League,Match Report,
2022-10-29,19:45(20:45),Premier League,Matchweek 14,Sat,Home,L,1,2,Leeds United,69,"53,274",Virgil van Dijk,4-4-2◆,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/b5b1e744/Liverpool-Leeds-United-October-29-2022-Premier-League,Match Report,
2022-11-01,20:00(21:00),Champions Lg,Group stage,Tue,Home,W,2,0,itNapoli,52,"52,077",James Milner,4-3-1-2,4-3-3,Tobias Stieler,https://fbref.com/en/matches/91efb39a/Liverpool-Napoli-November-1-2022-Champions-League,Match Report,
2022-11-06,16:30(17:30),Premier League,Matchweek 15,Sun,Away,W,2,1,Tottenham Hotspur,53,"62,008",Virgil van Dijk,4-4-2◆,5-3-2,Andy Madley,https://fbref.com/en/matches/2954504d/Tottenham-Hotspur-Liverpool-November-6-2022-Premier-League,Match Report,
2022-11-09,20:00(21:00),EFL Cup,Third round,Wed,Home,D,0(3),0(2),Derby County,74,"52,608",Joe Gomez,4-3-3,5-4-1,Tony Harrington,https://fbref.com/en/matches/d2166577/Liverpool-Derby-County-November-9-2022-EFL-Cup,Match Report,Liverpool won on penalty kicks following extra time
2022-11-12,15:00(16:00),Premier League,Matchweek 16,Sat,Home,W,3,1,Southampton,60,"53,331",Virgil van Dijk,4-3-3,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/1579d34b/Liverpool-Southampton-November-12-2022-Premier-League,Match Report,
2022-12-22,20:00(21:00),EFL Cup,Fourth round,Thu,Away,L,2,3,Manchester City,44,"47,149",James Milner,4-3-3,4-3-3,David Coote,https://fbref.com/en/matches/b8a0c4f1/Manchester-City-Liverpool-December-22-2022-EFL-Cup,Match Report,
2022-12-26,17:30(18:30),Premier League,Matchweek 17,Mon,Away,W,3,1,Aston Villa,53,"42,085",Jordan Henderson,4-3-3,4-4-2,Paul Tierney,https://fbref.com/en/matches/ab7d4465/Aston-Villa-Liverpool-December-26-2022-Premier-League,Match Report,
2022-12-30,20:00(21:00),Premier League,Matchweek 18,Fri,Home,W,2,1,Leicester City,57,"53,343",Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/c5e4ccf5/Liverpool-Leicester-City-December-30-2022-Premier-League,Match Report,
2023-01-02,17:30(18:30),Premier League,Matchweek 19,Mon,Away,L,1,3,Brentford,73,"17,163",Virgil van Dijk,4-3-3,3-5-2,Stuart Attwell,https://fbref.com/en/matches/af6aa183/Brentford-Liverpool-January-2-2023-Premier-League,Match Report,
2023-01-07,20:00(21:00),FA Cup,Third round proper,Sat,Home,D,2,2,Wolves,64,"52,636",Jordan Henderson,4-3-3,4-4-2,Andy Madley,https://fbref.com/en/matches/5e06a7e4/Liverpool-Wolverhampton-Wanderers-January-7-2023-FA-Cup,Match Report,
2023-01-14,15:00(16:00),Premier League,Matchweek 20,Sat,Away,L,0,3,Brighton,38,"31,645",Jordan Henderson,4-3-3,4-2-3-1,Darren England,https://fbref.com/en/matches/cfc2a193/Brighton-and-Hove-Albion-Liverpool-January-14-2023-Premier-League,Match Report,
2023-01-17,19:45(20:45),FA Cup,Third round proper,Tue,Away,W,1,0,Wolves,42,"30,948",James Milner,4-3-3,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/fb6d14cd/Wolverhampton-Wanderers-Liverpool-January-17-2023-FA-Cup,Match Report,
2023-01-21,12:30(13:30),Premier League,Matchweek 21,Sat,Home,D,0,0,Chelsea,48,"53,126",James Milner,4-3-3,3-4-3,Michael Oliver,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,Match Report,
